,address,benefits,destination,image_urls,link,name,room_type,norm_image,norm_name,norm_address,norm_price,norm_star
1267,"33 Phan Khiêm Ích, Phú Mỹ Hưng, Q.7, TP.Hồ Chí Minh, VNM","38 khu phòng,Sân golf,Sòng bạc,Nhà hàng,Hộp đêm,Sân thượng,Câu lạc bộ trẻ em miễn phí,Trung tâm hội nghị,Dịch vụ đưa đón sân bay,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Vườn,Bữa sáng đặc sản địa phương miễn phí, Wifi miễn phí và chỗ đậu xe miễn phí",khách sạn Hồ Chí Minh,https://exp.cdn-hotels.com/hotels/11000000/10120000/10120000/10119934/3194a55d_b.jpg,https://vi.hotels.com/ho497749/?pa=8&q-check-out=2019-04-10&tab=description&q-room-0-adults=2&YGF=1&q-check-in=2019-04-09&MGT=1&WOE=3&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Golf,"Phòng 4 Cao cấp, 2 giường cỡ queen, Bồn tắm, Quang cảnh thành phố",images/full/c029cf6b844ce878767b452cb1cc546ee96b1a48.jpg,khách sạn golf,33 phan khiêm ích  phú mỹ hưng  q.7  tp.hồ chí minh  vnm,731602,3
1268,"42/4 Ho Hao Hon st.,, Co Giang Ward, Dist 1, Thành phố Hồ Chí Minh, VNM","27 căn hộ không khói thuốc,Máy điều hòa nhiệt độ,Wifi miễn phí",khách sạn Hồ Chí Minh,https://exp.cdn-hotels.com/hotels/31000000/30540000/30533900/30533838/c5590d8d_b.jpg,https://vi.hotels.com/ho978082816/?pa=2&q-check-out=2019-04-10&tab=description&q-room-0-adults=2&YGF=1&q-check-in=2019-04-09&MGT=1&WOE=3&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Happy Homes 42 Hồ Hảo Hớn,"Studio, Ban công",images/full/c029cf6b844ce878767b452cb1cc546ee96b1a48.jpg,happy homes 42 hồ hảo hớn,42/4 ho hao hon st.   co giang ward  dist 1  thành phố hồ chí minh  vnm,437993,3
1269,"42/4 Ho Hao Hon st.,, Co Giang Ward, Dist 1, Thành phố Hồ Chí Minh, VNM","27 căn hộ không khói thuốc,Máy điều hòa nhiệt độ,Wifi miễn phí",khách sạn Hồ Chí Minh,https://exp.cdn-hotels.com/hotels/31000000/30540000/30533900/30533838/c5590d8d_b.jpg,https://vi.hotels.com/ho978082816/?pa=2&q-check-out=2019-04-10&tab=description&q-room-0-adults=2&YGF=1&q-check-in=2019-04-09&MGT=1&WOE=3&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Happy Homes 42 Hồ Hảo Hớn,"Studio, Ban công",images/full/c029cf6b844ce878767b452cb1cc546ee96b1a48.jpg,happy homes 42 hồ hảo hớn,42/4 ho hao hon st.   co giang ward  dist 1  thành phố hồ chí minh  vnm,437993,3
1270,"136 Bùi Thị Xuân, Q.1, TP. Hồ Chí Minh, VNM","60 khu phòng không khói thuốc,Nhà hàng và quầy bar/khu lounge,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Dịch vụ cho thuê xe trong khuôn viên,Dịch vụ giặt ủi,Dịch vụ tư vấn/hỗ trợ khách,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Bữa sáng đặc sản địa phương miễn phí và Wifi miễn phí",khách sạn Hồ Chí Minh,https://exp.cdn-hotels.com/hotels/1000000/920000/911000/910909/7b2f0053_b.jpg,https://vi.hotels.com/ho208259/?pa=12&q-check-out=2019-04-10&tab=description&q-room-0-adults=2&YGF=1&q-check-in=2019-04-09&MGT=1&WOE=3&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Empress Thành phố Hồ Chí Minh,Phòng Suite Junior,images/full/c029cf6b844ce878767b452cb1cc546ee96b1a48.jpg,khách sạn empress thành phố hồ chí minh,136 bùi thị xuân  q.1  tp. hồ chí minh  vnm,2420000,"2,5"
1271,"33 Phan Khiêm Ích, Phú Mỹ Hưng, Q.7, TP.Hồ Chí Minh, VNM","38 khu phòng,Sân golf,Sòng bạc,Nhà hàng,Hộp đêm,Sân thượng,Câu lạc bộ trẻ em miễn phí,Trung tâm hội nghị,Dịch vụ đưa đón sân bay,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Vườn,Bữa sáng đặc sản địa phương miễn phí, Wifi miễn phí và chỗ đậu xe miễn phí",khách sạn Hồ Chí Minh,https://exp.cdn-hotels.com/hotels/11000000/10120000/10120000/10119934/3194a55d_b.jpg,https://vi.hotels.com/ho497749/?pa=8&q-check-out=2019-04-10&tab=description&q-room-0-adults=2&YGF=1&q-check-in=2019-04-09&MGT=1&WOE=3&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Golf,"Phòng 4 Cao cấp, 2 giường cỡ queen, Bồn tắm, Quang cảnh thành phố",images/full/c029cf6b844ce878767b452cb1cc546ee96b1a48.jpg,khách sạn golf,33 phan khiêm ích  phú mỹ hưng  q.7  tp.hồ chí minh  vnm,731602,3
1272,"136 Bùi Thị Xuân, Q.1, TP. Hồ Chí Minh, VNM","60 khu phòng không khói thuốc,Nhà hàng và quầy bar/khu lounge,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Dịch vụ cho thuê xe trong khuôn viên,Dịch vụ giặt ủi,Dịch vụ tư vấn/hỗ trợ khách,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Bữa sáng đặc sản địa phương miễn phí và Wifi miễn phí",khách sạn Hồ Chí Minh,https://exp.cdn-hotels.com/hotels/1000000/920000/911000/910909/7b2f0053_b.jpg,https://vi.hotels.com/ho208259/?pa=12&q-check-out=2019-04-10&tab=description&q-room-0-adults=2&YGF=1&q-check-in=2019-04-09&MGT=1&WOE=3&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Empress Thành phố Hồ Chí Minh,Phòng Suite Junior,images/full/c029cf6b844ce878767b452cb1cc546ee96b1a48.jpg,khách sạn empress thành phố hồ chí minh,136 bùi thị xuân  q.1  tp. hồ chí minh  vnm,2420000,"2,5"
1273,"136 Bùi Thị Xuân, Q.1, TP. Hồ Chí Minh, VNM","60 khu phòng không khói thuốc,Nhà hàng và quầy bar/khu lounge,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Dịch vụ cho thuê xe trong khuôn viên,Dịch vụ giặt ủi,Dịch vụ tư vấn/hỗ trợ khách,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Bữa sáng đặc sản địa phương miễn phí và Wifi miễn phí",khách sạn Hồ Chí Minh,https://exp.cdn-hotels.com/hotels/1000000/920000/911000/910909/7b2f0053_b.jpg,https://vi.hotels.com/ho208259/?pa=12&q-check-out=2019-04-10&tab=description&q-room-0-adults=2&YGF=1&q-check-in=2019-04-09&MGT=1&WOE=3&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Empress Thành phố Hồ Chí Minh,Phòng Suite Junior,images/full/c029cf6b844ce878767b452cb1cc546ee96b1a48.jpg,khách sạn empress thành phố hồ chí minh,136 bùi thị xuân  q.1  tp. hồ chí minh  vnm,2420000,"2,5"
1274,"33 Phan Khiêm Ích, Phú Mỹ Hưng, Q.7, TP.Hồ Chí Minh, VNM","38 khu phòng,Sân golf,Sòng bạc,Nhà hàng,Hộp đêm,Sân thượng,Câu lạc bộ trẻ em miễn phí,Trung tâm hội nghị,Dịch vụ đưa đón sân bay,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Vườn,Bữa sáng đặc sản địa phương miễn phí, Wifi miễn phí và chỗ đậu xe miễn phí",khách sạn Hồ Chí Minh,https://exp.cdn-hotels.com/hotels/11000000/10120000/10120000/10119934/3194a55d_b.jpg,https://vi.hotels.com/ho497749/?pa=8&q-check-out=2019-04-10&tab=description&q-room-0-adults=2&YGF=1&q-check-in=2019-04-09&MGT=1&WOE=3&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Golf,"Phòng 4 Cao cấp, 2 giường cỡ queen, Bồn tắm, Quang cảnh thành phố",images/full/c029cf6b844ce878767b452cb1cc546ee96b1a48.jpg,khách sạn golf,33 phan khiêm ích  phú mỹ hưng  q.7  tp.hồ chí minh  vnm,731602,3
1275,"136 Bùi Thị Xuân, Q.1, TP. Hồ Chí Minh, VNM","60 khu phòng không khói thuốc,Nhà hàng và quầy bar/khu lounge,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Dịch vụ cho thuê xe trong khuôn viên,Dịch vụ giặt ủi,Dịch vụ tư vấn/hỗ trợ khách,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Bữa sáng đặc sản địa phương miễn phí và Wifi miễn phí",khách sạn Hồ Chí Minh,https://exp.cdn-hotels.com/hotels/1000000/920000/911000/910909/7b2f0053_b.jpg,https://vi.hotels.com/ho208259/?pa=12&q-check-out=2019-04-10&tab=description&q-room-0-adults=2&YGF=1&q-check-in=2019-04-09&MGT=1&WOE=3&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Empress Thành phố Hồ Chí Minh,Phòng Suite Junior,images/full/c029cf6b844ce878767b452cb1cc546ee96b1a48.jpg,khách sạn empress thành phố hồ chí minh,136 bùi thị xuân  q.1  tp. hồ chí minh  vnm,2420000,"2,5"
1276,"35 Thép Mới, P.12, Q.Tân Bình, TP. Hồ Chí Minh, VNM","28 khu phòng,Phục vụ bữa sáng,Dịch vụ đưa đón sân bay,Quầy tiếp tân phục vụ 24 giờ/ngày,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Dịch vụ giặt ủi,Dịch vụ trông giữ/bảo quản hành lý,Dịch vụ hỗ trợ tour/vé du lịch,Nhân viên khiêng hành lý/hỗ trợ khách,Wifi miễn phí và đậu xe miễn phí",khách sạn Hồ Chí Minh,https://exp.cdn-hotels.com/hotels/10000000/9630000/9626200/9626110/0ada3a5b_b.jpg,https://vi.hotels.com/ho503793/?pa=1&q-check-out=2019-04-10&tab=description&q-room-0-adults=2&YGF=1&q-check-in=2019-04-09&MGT=1&WOE=3&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Hung Anh Hotel,Phòng đôi Superior,images/full/c029cf6b844ce878767b452cb1cc546ee96b1a48.jpg,hung anh hotel,35 thép mới  p.12  q.tân bình  tp. hồ chí minh  vnm,476190,2
1277,"33 Phan Khiêm Ích, Phú Mỹ Hưng, Q.7, TP.Hồ Chí Minh, VNM","38 khu phòng,Sân golf,Sòng bạc,Nhà hàng,Hộp đêm,Sân thượng,Câu lạc bộ trẻ em miễn phí,Trung tâm hội nghị,Dịch vụ đưa đón sân bay,Máy điều hòa nhiệt độ,Dịch vụ dọn phòng hàng ngày,Vườn,Bữa sáng đặc sản địa phương miễn phí, Wifi miễn phí và chỗ đậu xe miễn phí",khách sạn Hồ Chí Minh,https://exp.cdn-hotels.com/hotels/11000000/10120000/10120000/10119934/3194a55d_b.jpg,https://vi.hotels.com/ho497749/?pa=8&q-check-out=2019-04-10&tab=description&q-room-0-adults=2&YGF=1&q-check-in=2019-04-09&MGT=1&WOE=3&WOD=2&ZSX=0&SYE=3&q-room-0-children=0,Khách sạn Golf,"Phòng 4 Cao cấp, 2 giường cỡ queen, Bồn tắm, Quang cảnh thành phố",images/full/c029cf6b844ce878767b452cb1cc546ee96b1a48.jpg,khách sạn golf,33 phan khiêm ích  phú mỹ hưng  q.7  tp.hồ chí minh  vnm,731602,3
